General Capability,Element,Sub-Element,Description,Level,Code,Indicator
Intercultural Understanding,Reflecting on culture and cultural diversity,Explore the influence of cultures on interactions,,Level 2 (Years 1-2),IURCDC2_1,describe how their cultural identities influence interactions with others  
Intercultural Understanding,Reflecting on culture and cultural diversity,Explore the influence of cultures on interactions,,Level 3 (Years 3-4),IURCDC3,
Intercultural Understanding,Reflecting on culture and cultural diversity,Explore the influence of cultures on interactions,,Level 3 (Years 3-4),IURCDC3_1,understand how cultural and linguistic diversity affect interactions within their community  
Intercultural Understanding,Reflecting on culture and cultural diversity,Explore the influence of cultures on interactions,,Level 4 (Years 5-6),IURCDC4,
Intercultural Understanding,Reflecting on culture and cultural diversity,Explore the influence of cultures on interactions,,Level 4 (Years 5-6),IURCDC4_1,"examine the influence of cultural and linguistic diversity on familiar interactions, and identify opportunities or challenges for relationship-building"
Intercultural Understanding,Reflecting on culture and cultural diversity,Explore the influence of cultures on interactions,,Level 5 (Years 7-8),IURCDC5,
Intercultural Understanding,Reflecting on culture and cultural diversity,Explore the influence of cultures on interactions,,Level 5 (Years 7-8),IURCDC5_1,"explain the influence of cultural and linguistic diversity on unfamiliar interactions, identifying opportunities to show respect for cultural traditions  "
Intercultural Understanding,Reflecting on culture and cultural diversity,Explore the influence of cultures on interactions,,Level 6 (Years 9-10),IURCDC6,
Intercultural Understanding,Reflecting on culture and cultural diversity,Explore the influence of cultures on interactions,,Level 6 (Years 9-10),IURCDC6_1,"analyse the influence of culture on interactions within and across cultural and linguistic groups, developing opportunities for exchange and collaboration  "
Intercultural Understanding,Engaging with cultural and linguistic diversity,,"<p>The Engaging with cultural and linguistic diversity element includes 3 sub-elements:</p>
<p>These sub-elements are:</p>
<ul>
<li>Communicate responsively</li>
<li>Develop multiple perspectives</li>
<li>Develop empathy</li>
</ul>",,IUECLD,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Communicate responsively,"<p>This sub-element supports students to learn to tailor their communication in a range of contexts, demonstrating sensitivity and respect for cultural and linguistic diversity. They use their understanding of this diversity to keep communication open, flexible and focused on constructive processes and outcomes.</p>",,IUECLDA,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Communicate responsively,,Level 1 (Foundation),IUECLDA1,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Communicate responsively,,Level 1 (Foundation),IUECLDA1_1,"notice the use of different languages they, their family or community members use to communicate  "
Intercultural Understanding,Engaging with cultural and linguistic diversity,Communicate responsively,,Level 2 (Years 1-2),IUECLDA2,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Communicate responsively,,Level 2 (Years 1-2),IUECLDA2_1,"identify and use verbal and non-verbal communication, recognising that these may have different meanings for familiar cultural and linguistic groups  "
Intercultural Understanding,Engaging with cultural and linguistic diversity,Communicate responsively,,Level 3 (Years 3-4),IUECLDA3,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Communicate responsively,,Level 3 (Years 3-4),IUECLDA3_1,"initiate verbal and non-verbal communication, comparing how members of familiar cultural and linguistic groups respond  "
Intercultural Understanding,Engaging with cultural and linguistic diversity,Communicate responsively,,Level 4 (Years 5-6),IUECLDA4,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Communicate responsively,,Level 4 (Years 5-6),IUECLDA4_1,"select strategies for open, flexible and focused communication in unfamiliar settings, considering their effect on building understanding  "
Intercultural Understanding,Engaging with cultural and linguistic diversity,Communicate responsively,,Level 5 (Years 7-8),IUECLDA5,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Communicate responsively,,Level 5 (Years 7-8),IUECLDA5_1,"select and use strategies for open, flexible and focused communication, including understanding how cultural perspectives and world views affect communication within, between and across cultural and linguistic groups"
Intercultural Understanding,Engaging with cultural and linguistic diversity,Communicate responsively,,Level 6 (Years 9-10),IUECLDA6,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Communicate responsively,,Level 6 (Years 9-10),IUECLDA6_1,"apply communication strategies in culturally and linguistically diverse contexts, understanding how language and culture are interrelated or connected  "
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop multiple perspectives,<p>This sub-element supports students to build self-awareness of their own perspectives towards issues and sharpen their skills in perspective-taking. They consider representation and acknowledge that multiple perspectives exist for any given issue. They learn that perspectives influence how people interpret and interact with the world around them.</p>,,IUECLDB,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop multiple perspectives,,Level 1 (Foundation),IUECLDB1,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop multiple perspectives,,Level 1 (Foundation),IUECLDB1_1,"listen to, and share opinions and reflections on, familiar topics and intercultural experiences"
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop multiple perspectives,,Level 2 (Years 1-2),IUECLDB2,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop multiple perspectives,,Level 2 (Years 1-2),IUECLDB2_1,"identify opinions on familiar topics and intercultural experiences, recognising reasons for different perspectives  "
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop multiple perspectives,,Level 3 (Years 3-4),IUECLDB3,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop multiple perspectives,,Level 3 (Years 3-4),IUECLDB3_1,"discuss different perspectives on familiar topics and intercultural experiences, describing how people’s thinking and behaviour may be influenced by a range of factors "
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop multiple perspectives,,Level 4 (Years 5-6),IUECLDB4,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop multiple perspectives,,Level 4 (Years 5-6),IUECLDB4_1,"examine how cultural beliefs or practices influence their own perspectives, and those of others, when discussing unfamiliar topics "
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop multiple perspectives,,Level 5 (Years 7-8),IUECLDB5,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop multiple perspectives,,Level 5 (Years 7-8),IUECLDB5_1,"consider multiple perspectives held on unfamiliar topics, identifying commonality and difference, and describe how perspectives may be influenced by cultural beliefs and practices"
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop multiple perspectives,,Level 6 (Years 9-10),IUECLDB6,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop multiple perspectives,,Level 6 (Years 9-10),IUECLDB6_1,"analyse unfamiliar topics and develop respectful responses, reconciling different cultural perspectives"
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop empathy,<p>This sub-element supports students to reflect on their thoughts and feelings when taking on a range of perspectives. They learn to mediate perspectives to pursue inclusive and equitable outcomes.</p>,,IUECLDC,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop empathy,,Level 1 (Foundation),IUECLDC1,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop empathy,,Level 1 (Foundation),IUECLDC1_1,"notice their own feelings, and the feelings of others, during familiar intercultural experiences "
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop empathy,,Level 2 (Years 1-2),IUECLDC2,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop empathy,,Level 2 (Years 1-2),IUECLDC2_1,"describe their own feelings and responses, and those of others, when discussing familiar intercultural experiences "
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop empathy,,Level 3 (Years 3-4),IUECLDC3,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop empathy,,Level 3 (Years 3-4),IUECLDC3_1,"describe how listening to, and understanding others, supports respectful intercultural experiences and interactions  "
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop empathy,,Level 4 (Years 5-6),IUECLDC4,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop empathy,,Level 4 (Years 5-6),IUECLDC4_1,examine how showing empathy during intercultural experiences supports relationship-building and sustains respectful interactions
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop empathy,,Level 5 (Years 7-8),IUECLDC5,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop empathy,,Level 5 (Years 7-8),IUECLDC5_1,"use perspective-taking, mutual  understanding and respect to sustain interactions in diverse intercultural experiences  "
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop empathy,,Level 6 (Years 9-10),IUECLDC6,
Intercultural Understanding,Engaging with cultural and linguistic diversity,Develop empathy,,Level 6 (Years 9-10),IUECLDC6_1,"analyse diverse experiences of intercultural contexts, understanding how these contexts influence their own and others’ feelings, motivations and actions  "
Intercultural Understanding,Navigating intercultural contexts,,"<p>The Navigating intercultural contexts element includes 3 sub-elements:</p>
<p>These sub-elements are:</p>
<ul>
<li>Consider responses to intercultural experiences</li>
<li>Respond to biases, stereotypes, prejudices and discrimination</li>
<li>Adapt in intercultural exchanges</li>
</ul>",,IUTIC,
Intercultural Understanding,Navigating intercultural contexts,Consider responses to intercultural contexts,<p>This sub-element supports students to understand their own and others’ responses to intercultural experiences and reflect on how these responses are shaped and influence individuals and their relationships. They learn to propose alternative responses to improve communication outcomes.</p>,,IUTICA,
Intercultural Understanding,Navigating intercultural contexts,Consider responses to intercultural contexts,,Level 1 (Foundation),IUTICA1,
Intercultural Understanding,Navigating intercultural contexts,Consider responses to intercultural contexts,,Level 1 (Foundation),IUTICA1_1,"notice how they, and their family members, respond in unfamiliar intercultural contexts  "
Intercultural Understanding,Navigating intercultural contexts,Consider responses to intercultural contexts,,Level 2 (Years 1-2),IUTICA2,
Intercultural Understanding,Navigating intercultural contexts,Consider responses to intercultural contexts,,Level 2 (Years 1-2),IUTICA2_1,describe how past intercultural experiences affect how they understand and respond to new experiences  
Intercultural Understanding,Navigating intercultural contexts,Consider responses to intercultural contexts,,Level 3 (Years 3-4),IUTICA3,
Intercultural Understanding,Navigating intercultural contexts,Consider responses to intercultural contexts,,Level 3 (Years 3-4),IUTICA3_1,examine the influence of past intercultural experiences on what they learn about themselves and others
Intercultural Understanding,Navigating intercultural contexts,Consider responses to intercultural contexts,,Level 4 (Years 5-6),IUTICA4,
Intercultural Understanding,Navigating intercultural contexts,Consider responses to intercultural contexts,,Level 4 (Years 5-6),IUTICA4_1,explain how intercultural experiences affect what they learn about relationship-building and interactions
Intercultural Understanding,Navigating intercultural contexts,Consider responses to intercultural contexts,,Level 5 (Years 7-8),IUTICA5,
Intercultural Understanding,Navigating intercultural contexts,Consider responses to intercultural contexts,,Level 5 (Years 7-8),IUTICA5_1,analyse how cultural representations in a range of intercultural contexts influence self-awareness of culturally appropriate behaviour  
Intercultural Understanding,Navigating intercultural contexts,Consider responses to intercultural contexts,,Level 6 (Years 9-10),IUTICA6,
Intercultural Understanding,Navigating intercultural contexts,Consider responses to intercultural contexts,,Level 6 (Years 9-10),IUTICA6_1,"apply learning to improve communication outcomes in unfamiliar intercultural contexts, considering and developing alternative responses  "
Intercultural Understanding,Navigating intercultural contexts,"Respond to biases, stereotypes, prejudices and discrimination","<p>This sub-element supports students to examine their origin, respectfully challenging prejudicial and discriminatory behaviour, and propose action to promote the wellbeing of people while valuing their cultural identities.</p>",,IUTICB,
Intercultural Understanding,Navigating intercultural contexts,"Respond to biases, stereotypes, prejudices and discrimination",,Level 1 (Foundation),IUTICB1,
Intercultural Understanding,Navigating intercultural contexts,"Respond to biases, stereotypes, prejudices and discrimination",,Level 1 (Foundation),IUTICB1_1,identify examples of acceptance and inclusion within friendship groups  
Intercultural Understanding,Navigating intercultural contexts,"Respond to biases, stereotypes, prejudices and discrimination",,Level 2 (Years 1-2),IUTICB2,
Intercultural Understanding,Navigating intercultural contexts,"Respond to biases, stereotypes, prejudices and discrimination",,Level 2 (Years 1-2),IUTICB2_1,"discuss examples of stereotypical statements used in familiar intercultural exchanges, reflecting on their feelings and responses  "
Intercultural Understanding,Navigating intercultural contexts,"Respond to biases, stereotypes, prejudices and discrimination",,Level 3 (Years 3-4),IUTICB3,
Intercultural Understanding,Navigating intercultural contexts,"Respond to biases, stereotypes, prejudices and discrimination",,Level 3 (Years 3-4),IUTICB3_1,"describe the effects of stereotyping on people in familiar intercultural exchanges, identifying actions to change perceptions  "
Intercultural Understanding,Navigating intercultural contexts,"Respond to biases, stereotypes, prejudices and discrimination",,Level 4 (Years 5-6),IUTICB4,
Intercultural Understanding,Navigating intercultural contexts,"Respond to biases, stereotypes, prejudices and discrimination",,Level 4 (Years 5-6),IUTICB4_1,"examine how biases and stereotypes affect familiar intercultural exchanges, identifying actions that demonstrate understanding and respect  "
Intercultural Understanding,Navigating intercultural contexts,"Respond to biases, stereotypes, prejudices and discrimination",,Level 5 (Years 7-8),IUTICB5,
Intercultural Understanding,Navigating intercultural contexts,"Respond to biases, stereotypes, prejudices and discrimination",,Level 5 (Years 7-8),IUTICB5_1,"analyse the origins of biases, stereotypes and prejudices affecting interactions and the representation of groups, proposing actions to build awareness of experiences or impacts  "
Intercultural Understanding,Navigating intercultural contexts,"Respond to biases, stereotypes, prejudices and discrimination",,Level 6 (Years 9-10),IUTICB6,
Intercultural Understanding,Navigating intercultural contexts,"Respond to biases, stereotypes, prejudices and discrimination",,Level 6 (Years 9-10),IUTICB6_1,"apply learning to promote the wellbeing of people within unfamiliar intercultural exchanges, proposing actions to challenge biases, stereotypes, prejudices and discrimination "
Intercultural Understanding,Navigating intercultural contexts,Adapt in intercultural exchanges,"<p>This sub-element supports students to apply their learning in a range of interactions, using their understanding of culture and cultural diversity, and skills in perspective-taking and empathy. </p>",,IUTICC,
Intercultural Understanding,Navigating intercultural contexts,Adapt in intercultural exchanges,,Level 1 (Foundation),IUTICC1,
Intercultural Understanding,Navigating intercultural contexts,Adapt in intercultural exchanges,,Level 1 (Foundation),IUTICC1_1,identify how people show respect in intercultural exchanges  
Intercultural Understanding,Navigating intercultural contexts,Adapt in intercultural exchanges,,Level 2 (Years 1-2),IUTICC2,
Intercultural Understanding,Navigating intercultural contexts,Adapt in intercultural exchanges,,Level 2 (Years 1-2),IUTICC2_1,"consider different responses to intercultural exchanges, practising ways to show respect and develop empathy  "
Intercultural Understanding,Navigating intercultural contexts,Adapt in intercultural exchanges,,Level 3 (Years 3-4),IUTICC3,
Intercultural Understanding,Navigating intercultural contexts,Adapt in intercultural exchanges,,Level 3 (Years 3-4),IUTICC3_1,"use perspective-taking to develop understanding, examining how familiar intercultural exchanges influence thinking and behaviour  "
Intercultural Understanding,Navigating intercultural contexts,Adapt in intercultural exchanges,,Level 4 (Years 5-6),IUTICC4,
Intercultural Understanding,Navigating intercultural contexts,Adapt in intercultural exchanges,,Level 4 (Years 5-6),IUTICC4_1,"modify interactions in unfamiliar intercultural exchanges, demonstrating respect for, and understanding of, cultural diversity  "
Intercultural Understanding,Navigating intercultural contexts,Adapt in intercultural exchanges,,Level 5 (Years 7-8),IUTICC5,
Intercultural Understanding,Navigating intercultural contexts,Adapt in intercultural exchanges,,Level 5 (Years 7-8),IUTICC5_1,modify responses to unfamiliar intercultural exchanges to negotiate and sustain interactions that develop mutual understanding  
Intercultural Understanding,Navigating intercultural contexts,Adapt in intercultural exchanges,,Level 6 (Years 9-10),IUTICC6,
Intercultural Understanding,Navigating intercultural contexts,Adapt in intercultural exchanges,,Level 6 (Years 9-10),IUTICC6_1,"apply learning to the challenges and benefits of interacting in a culturally diverse society, adapting thinking and behaviour to develop mutual understanding  "
Literacy,,,,,L,
Literacy,Speaking and listening,,"<p>The Speaking and listening element includes 3 sub-elements.</p>
<p>These sub-elements are:</p>
<ul>
<li>Listening</li>
<li>Interacting</li>
<li>Speaking</li>
</ul>",,LS,
Literacy,Speaking and listening,Listening,This sub-element describes how a student becomes increasingly proficient at building meaning from a variety of spoken and audio texts. It includes active listening processes to access and understand the increasingly sophisticated language structures of spoken texts for audiences and purposes specific to learning area requirements.,,LSLiS,
Literacy,Speaking and listening,Listening,,Level 1a,LSECL1a,
Literacy,Speaking and listening,Listening,,Level 1a,LSECL1a.1,"shows interest in familiar people, events and activities (e.g. tracks the speaker's movements, turns head in the direction of a speaker)"
Literacy,Speaking and listening,Listening,,Level 1b,LSECL1b,
Literacy,Speaking and listening,Listening,,Level 1b,LSECL1b.1,responds consistently to social interactions with familiar people (see Interacting)
Literacy,Speaking and listening,Listening,,Level 1b,LSECL1b.2,"uses informal responses which can include vocalising, moving, touching (e.g. touches a target object in response to a question or directive) (see Interacting)"
Literacy,Speaking and listening,Listening,,Level 1,LSLiS1,
Literacy,Speaking and listening,Listening,,Level 1,LSLiS1.1,"responds to a familiar, simple text structure (e.g. indicates yes or no when asked a commonly recurring question such as ""Are you hungry?"") (see Speaking)"
Literacy,Speaking and listening,Listening,,Level 1,LSLIS1.2,"uses conventional behaviours to respond, which can include speech, formal gestures and actions (e.g. head nodding and pointing)"
Literacy,Speaking and listening,Listening,,Level 2,LSLiS2,
Literacy,Speaking and listening,Listening,,Level 2,LSLiS2.1,"responds to short spoken texts relying on key words, obvious cues, tone of voice and intonation"
Literacy,Speaking and listening,Listening,,Level 2,LSLiS2.2,follows a simple command
Literacy,Speaking and listening,Listening,,Level 2,LSLiS2.3,repeats familiar words heard in a text or conversation
Literacy,Speaking and listening,Listening,,Level 3,LSLiS3,
Literacy,Speaking and listening,Listening,,Level 3,LSLiS3.1,listens actively and responds to short texts consisting of a few sentences
Literacy,Speaking and listening,Listening,,Level 3,LSLiS3.2,recalls one or 2 ideas from a short text or interaction
Literacy,Speaking and listening,Listening,,Level 3,LSLiS3.3,answers simple or literal questions
Literacy,Speaking and listening,Listening,,Level 3,LSLiS3.4,"asks what, when, why questions about a text they have listened to"
Literacy,Speaking and listening,Listening,,Level 3,LSLiS3.5,"uses facial expressions, gestures or actions to indicate understanding of tone and intonation"
Literacy,Speaking and listening,Listening,,Level 3,LSLiS3.6,"discriminates individual words in a short, spoken sentence (e.g. identifies ""lunchtime"" in ""the meeting for the excursion is at lunchtime"")"
Literacy,Speaking and listening,Listening,,Level 3,LSLiS3.7,"describes familiar objects and actions heard in a text or interaction (e.g. ""the chicken ate the bug"")"
Literacy,Speaking and listening,Listening,,Level 3,LSLiS3.8,"accurately repeats, short phrases and statements from a short text or interaction"
Literacy,Speaking and listening,Listening,,Level 3,LSLiS3.9,recognises and generates one-syllable rhyming words (see Phonological awareness)
Literacy,Speaking and listening,Listening,,Level 4,LSLiS4,
Literacy,Speaking and listening,Listening,,Level 4,LSLiS4.1,responds to simple and elementary texts (see Text complexity)
Literacy,Speaking and listening,Listening,,Level 4,LSLiS4.2,recalls specific information from a spoken text (e.g. recalls a message from a school assembly announcement)
Literacy,Speaking and listening,Listening,,Level 4,LSLiS4.3,answers literal and simple inferential questions from a text they have listened to
Literacy,Speaking and listening,Listening,,Level 4,LSLiS4.4,"infers obvious meaning from a simple, spoken text (e.g. identifies character’s job as a sales assistant from dialogue with a shopper)"
Literacy,Speaking and listening,Listening,,Level 4,LSLiS4.5,"experiments with a small range of listening strategies (e.g. asks speaker to repeat information, if unclear)"
Literacy,Speaking and listening,Listening,,Level 4,LSLiS4.6,uses learnt vocabulary and simple adjectives to recount key ideas from heard text
Literacy,Speaking and listening,Listening,,Level 5,LSLiS5,
Literacy,Speaking and listening,Listening,,Level 5,LSLiS5.1,responds to elementary texts (see Text complexity)
Literacy,Speaking and listening,Listening,,Level 5,LSLiS5.2,listens purposefully to texts to identify specific learning area content
Literacy,Speaking and listening,Listening,,Level 5,LSLiS5.3,recalls specific information from a learning area text
Literacy,Speaking and listening,Listening,,Level 5,LSLiS5.4,attends to sequence when recounting ideas
Literacy,Speaking and listening,Listening,,Level 5,LSLiS5.5,infers meaning that may be less obvious (e.g. infers beach context from hearing background sounds of seagulls and surf)
Literacy,Speaking and listening,Listening,,Level 5,LSLiS5.6,"describes tone and intonation of spoken text (e.g. ""she spoke with an angry tone"")"
Literacy,Speaking and listening,Listening,,Level 5,LSLiS5.7,retells a familiar story with some possible minor adaptations
Literacy,Speaking and listening,Listening,,Level 5,LSLiS5.8,"selects appropriate listening strategies (e.g. asking questions to elicit extra information, rephrasing others’ contributions to check own comprehension)"
Literacy,Speaking and listening,Listening,,Level 5,LSLiS5.9,"listens for cohesive vocabulary to support comprehension (e.g. listens for temporal connectives such as ""first"", ""then"", ""finally"" and conjunctions such as ""also"" to identify next section in text)"
Literacy,Speaking and listening,Listening,,Level 6,LSLiS6,
Literacy,Speaking and listening,Listening,,Level 6,LSLiS6.1,responds to moderately complex texts (see Text complexity)
Literacy,Speaking and listening,Listening,,Level 6,LSLiS6.2,responds to texts with unfamiliar content
Literacy,Speaking and listening,Listening,,Level 6,LSLiS6.3,identifies main ideas of a spoken text using supporting details
Literacy,Speaking and listening,Listening,,Level 6,LSLiS6.4,identifies purpose and intended audience of a spoken text
Literacy,Speaking and listening,Listening,,Level 6,LSLiS6.5,infers layered meaning from texts (e.g. musical overlay that creates mood)
Literacy,Speaking and listening,Listening,,Level 6,LSLiS6.6,asks relevant questions to extend understanding
Literacy,Speaking and listening,Listening,,Level 6,LSLiS6.7,describes language and audio features of the text
Literacy,Speaking and listening,Listening,,Level 7,LSLiS7,
Literacy,Speaking and listening,Listening,,Level 7,LSLiS7.1,responds to complex texts (see Text complexity)
Literacy,Speaking and listening,Listening,,Level 7,LSLiS7.2,identifies and analyses how spoken language is used for different effects
Literacy,Speaking and listening,Listening,,Level 7,LSLiS7.3,"explains the use of intonation, pausing, rhythm and phrasing to give emphasis and weight to ideas"
Literacy,Speaking and listening,Listening,,Level 7,LSLiS7.4,selects appropriate listening strategies for planned and unplanned situations (e.g. records and organises information from a text in a table or with detailed notes)
Literacy,Speaking and listening,Listening,,Level 7,LSLiS7.5,explains how vocabulary is used for impact on the target audience
Literacy,Speaking and listening,Listening,,Level 8,LSLiS8,
Literacy,Speaking and listening,Listening,,Level 8,LSLiS8.1,responds to highly complex texts (see Text complexity)
Literacy,Speaking and listening,Listening,,Level 8,LSLiS8.2,identifies and paraphrases key points of a speaker’s arguments
Literacy,Speaking and listening,Listening,,Level 8,LSLiS8.3,"describes how listening skills should be applied, according to purpose"
Literacy,Speaking and listening,Listening,,Level 8,LSLiS8.4,evaluates strategies used by the speaker to elicit emotional responses
Literacy,Speaking and listening,Listening,,Level 8,LSLiS8.5,"explains any shift in direction, line of argument or purpose made by the speaker"
Literacy,Speaking and listening,Listening,,Level 8,LSLiS8.6,adopts and re-uses complex abstractions heard in texts
Literacy,Speaking and listening,Listening,,Level 8,LSLiS8.7,explains how speakers’ language can be inclusive or alienating (e.g. a speaker using language which is only readily understood by certain user groups such as teenagers or people involved in particular pastimes)
Literacy,Speaking and listening,Interacting,"<p>This sub-element describes how a student becomes increasingly proficient in two-way interaction processes, to clarify and create understanding. Students interact across an increasing range of curriculum contexts and purposes in pair, group or whole-class oral interactions, expressing their ideas clearly and persuasively and building on the ideas of others.</p>",,LSInT,
Literacy,Speaking and listening,Interacting,,Level 1a,LSECI1a,
Literacy,Speaking and listening,Interacting,,Level 1a,LSECI1a.1,"interacts using informal behaviours to express a feeling or need (e.g. vocalising, moving, using facial expressions)"
Literacy,Speaking and listening,Interacting,,Level 1b,LSECI1b,
Literacy,Speaking and listening,Interacting,,Level 1b,LSECI1b.1,interacts purposefully with familiar people (e.g. refuse or request)
Literacy,Speaking and listening,Interacting,,Level 1,LSInT1,
Literacy,Speaking and listening,Interacting,,Level 1,LSInT1.1,shares simple ideas with peers
Literacy,Speaking and listening,Interacting,,Level 1,LSInT1.2,responds to questions in class discussion using non-verbal responses (e.g. nodding)
Literacy,Speaking and listening,Interacting,,Level 1,LSInT1.3,listens without interrupting (see Listening)
Literacy,Speaking and listening,Interacting,,Level 1,LSInT1.4,uses home language or dialect to interact with familiar peers and adults
Literacy,Speaking and listening,Interacting,,Level 2,LSInT2,
Literacy,Speaking and listening,Interacting,,Level 2,LSInT2.1,contributes simple ideas and opinions to class or small group discussions
Literacy,Speaking and listening,Interacting,,Level 2,LSInT2.2,"shows signs of active listening, by sustaining attention across a short, spoken text"
Literacy,Speaking and listening,Interacting,,Level 2,LSInT2.3,shows beginning awareness of discussion conventions (e.g. pauses when another speaker starts)
Literacy,Speaking and listening,Interacting,,Level 2,LSInT2.4,uses appropriate language or dialect to interact with speakers of the same language
Literacy,Speaking and listening,Interacting,,Level 3,LSInT3,
Literacy,Speaking and listening,Interacting,,Level 3,LSInT3.1,listens actively to stay on topic in a small group discussion
Literacy,Speaking and listening,Interacting,,Level 3,LSInT3.2,takes an active role in  small group and whole-class discussion by volunteering ideas and opinions
Literacy,Speaking and listening,Interacting,,Level 3,LSInT3.3,"asks relevant questions for clarification or to find out others’ ideas (e.g. ""What do you think about that?"")"
Literacy,Speaking and listening,Interacting,,Level 3,LSInT3.4,takes turns in interactions
Literacy,Speaking and listening,Interacting,,Level 3,LSInT3.5,interacts using appropriate language in pairs or a small group to complete tasks
Literacy,Speaking and listening,Interacting,,Level 4,LSInT4,
Literacy,Speaking and listening,Interacting,,Level 4,LSInT4.1,interacts to extend and elaborate ideas in a discussion (e.g. provides an additional example)
Literacy,Speaking and listening,Interacting,,Level 4,LSInT4.2,presents simple ideas clearly in group situations
Literacy,Speaking and listening,Interacting,,Level 4,LSInT4.3,actively encourages or supports other speakers
Literacy,Speaking and listening,Interacting,,Level 4,LSInT4.4,shows awareness of discussion conventions (e.g. uses appropriate language to express agreement and disagreement in class discussions)
Literacy,Speaking and listening,Interacting,,Level 4,LSInT4.5,"uses language to initiate interactions in a small group situation (e.g. ""I have an idea"")"
Literacy,Speaking and listening,Interacting,,Level 5,LSInT5,
Literacy,Speaking and listening,Interacting,,Level 5,LSInT5.1,critically evaluate ideas and claims made by a speaker
Literacy,Speaking and listening,Interacting,,Level 5,LSInT5.2,explains new learning from interacting with others
Literacy,Speaking and listening,Interacting,,Level 5,LSInT5.3,appropriately presents an alternative point to the previous speaker
Literacy,Speaking and listening,Interacting,,Level 5,LSInT5.4,initiates interactions confidently in group and whole-class discussions
Literacy,Speaking and listening,Interacting,,Level 5,LSInT5.5,poses pertinent questions to make connections between a range of ideas
Literacy,Speaking and listening,Interacting,,Level 5,LSInT5.6,uses open questions to prompt a speaker to provide more information
Literacy,Speaking and listening,Interacting,,Level 5,LSInT5.7,clarifies task goals and negotiates roles in group learning
Literacy,Speaking and listening,Interacting,,Level 5,LSInT5.8,monitors discussion to manage digression from the topic
Literacy,Speaking and listening,Interacting,,Level 5,LSInT5.9,"identifies and articulates the perspective of a speaker, to move a conversation forward"
Literacy,Speaking and listening,Interacting,,Level 6,LSInT6,
Literacy,Speaking and listening,Interacting,,Level 6,LSInT6.1,"interacts within school context or the broader community, adjusting language and responses to suit purpose and audience"
Literacy,Speaking and listening,Interacting,,Level 6,LSInT6.2,synthesises ideas from group discussion into a common theme or hypothesis
Literacy,Speaking and listening,Interacting,,Level 6,LSInT6.3,"poses problems, hypothesises and formulates questions about abstract ideas in group situations"
Literacy,Speaking and listening,Interacting,,Level 6,LSInT6.4,restates different views and makes suggestions to negotiate agreement
Literacy,Speaking and listening,Interacting,,Level 6,LSInT6.5,poses questions to clarify assumptions made by the speaker
Literacy,Speaking and listening,Interacting,,Level 6,LSInT6.6,questions others to evaluate accuracy of thinking or problem-solving processes
Literacy,Speaking and listening,Interacting,,Level 6,LSInT6.7,"uses language to align the listener with personal position (e.g. ""of course"", ""as you can imagine"", ""obviously"")"
Literacy,Speaking and listening,Interacting,,Level 7,LSInT7,
Literacy,Speaking and listening,Interacting,,Level 7,LSInT7.1,interacts strategically and confidently with a broad range of interactional partners
Literacy,Speaking and listening,Interacting,,Level 7,LSInT7.2,"gives an extended explanation and evaluation of a complex concept, issue or process"
Literacy,Speaking and listening,Interacting,,Level 7,LSInT7.3,"justifies a personal stance, after analysis of arguments on a particular issue, using evidence and elaboration in a group situation"
Literacy,Speaking and listening,Interacting,,Level 7,LSInT7.4,uses language strategically to subtly align others to own perspective  as appropriate to audience and purpose
